ResponseId_B,ResponseId_A,Discipline,Q1_B_UIUC_data_used,Q2_B_how_provided,Q2_B_specify_online_database,Q2_B_other_specify,Q3_B_why_opt_not_use,Q3_B_other_specify,Q4_B_why_cited,Q4_B_other_specify
R_3dYNiDPBajbphD9,R_3hi692xZLMInCoA,ENGI,No,,,,"Other, please specify:","We cited the work as a reference in the background statement, but we did not use any specific data in the paper to generate any plots in our own paper.","The paper cited provided general background for our work,Our work used alternative or improved methodology,Our paper validated the results of the cited paper",
R_22YsGJxWq6RzTlr,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Other, please specify:","We cited this paper in relation to their methodology, not their data.",The paper cited provided general background for our work,
R_2YzAYfeFaQfBF34,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Other, please specify:",We cited this paper only to state the concept of [redacted].,The paper cited provided general background for our work,
R_ZEkuagOtiT3CDnj,R_24MEuk7xpLeHgPo,PHYS,No,,,,"It is important for my students' education to learn to collect their own data,Other, please specify:",we did not address exactly teh same issiue,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Our work used alternative or improved methodology",
R_12LMpBKupRQ8QRX,R_1NqeYmiHyFuzPG2,MEDI,No,,,,"Other, please specify:","We did not consider to use any other data than our own, which had been designed to answer our research question",The paper cited provided general background for our work,
R_tXQtAkO0SIk4AE1,R_2tbB72ykNoeSTaj,BIOC,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data,Other, please specify:",We did not need to use the data. We quote the message of their paper to discuss our own data.,"Other, please specify:",their data was a possible explanation for our finding
R_2uNHtDPWc332MsN,R_33mc4kWMIzbMo4n,BIOC,No,,,,"Other, please specify:",We don't have to use any data in our survey paper.,The paper cited provided general background for our work,
R_2b3jdyPKTtfauZ7,R_33mc4kWMIzbMo4n,BIOC,No,,,,"Other, please specify:",We generated our own data.,The paper cited provided general background for our work,
R_2UfnmjS18rk8iuf,R_sopM69Rlgndqlqx,MATE,No,,,,"Other, please specify:",We just refereed to some qualitative information in the paper.,Our paper validated the results of the cited paper,
R_3PSGIJdMajxXa3T,R_W8aKSQrkB41epaN,ENGI,No,,,,"It is important for my students' education to learn to collect their own data,Other, please specify:",we learnt from their research and then designed our own experiment on [redacted],"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_TwsjRslz1soEJSp,R_1QnkHTDqATDTUnu,BIOC,No,,,,"Other, please specify:",We only cited the paper in the Introduction as a motivation to our work.,The paper cited provided general background for our work,
R_2PtABQQXIJjxtCA,R_2DYqAtihofHqYko,MEDI,No,,,,"Other, please specify:","we only needed the conclusion, not the real data",The paper cited provided general background for our work,
R_6xUG3EYxVTj2sZH,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",We published our own data,The paper cited provided general background for our work,
R_22WVfl5mMe14hnE,R_3Hnzy9wTkrwVga1,ENGI,No,,,,"Other, please specify:",We referred the conclusion derived in the paper for supporting our data.,Our paper validated the results of the cited paper,
R_eyBXP8XDfZvltoR,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",we use the citation to point to a conclusion of the paper rather than using actual data from the paper,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Other, please specify:",the paper I wrote was a small review
R_1pDNA2aXJZnxpDY,R_1M0oybwscLN9XCy,CHEM,No,,,,"Other, please specify:","We used the conclusions and scientific understanding, but not the specific data included in the paper","The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_CjomwUyMVdaUanD,R_27xSRBo5D31eLr5,ENGI,No,,,,"Other, please specify:",We used the data for comparison,Our paper validated the results of the cited paper,
R_2OZOSkEgFsmDCBZ,R_1DINDJWhJZ4Aglx,CHEM,No,,,,"Other, please specify:","We voted this paper as it was foundational for our work, and we address to it, but did not reuse the dsta","The paper cited provided general background for our work,Our work is an extension of the cited paper,Our paper validated the results of the cited paper",
R_1rxJpTAxsAAtFpZ,R_WoqG3CNDhRMQ87f,EART,No,,,,"Data did not address our specific research question,Other, please specify:",We wrote a review paper on [redacted] not science paper about [redacted],The paper cited provided general background for our work,
R_3efW3futMVksHv7,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Other, please specify:",wedid not ask for it,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_9zQKxpFtgcALqG5,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_7QZ7Bfv5C3IgfGp,R_24MEuk7xpLeHgPo,PHYS,No,,,,,,,
R_2eaOgkqJhqdOTZD,R_3PgDg5AKn7rtGfj,COMP,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_sdFNTzHsmQxVovT,R_3hG6Jv6Uh64hCxi,COMP,No,,,,"Data did not address our specific research question,It would be have too complicated to use the data due to data use agreements or others IP restrictions",,The paper cited provided general background for our work,
R_2YX2zHe3oiO7Hh3,R_1oC1Ok4VpZMHkUz,MEDI,No,,,,"Data did not address our specific research question,It would be have too complicated to use the data due to data use agreements or others IP restrictions",,Our work addresses a similar process but in a different context,
R_3feG1htWPXlSoBi,R_3fN94PgHTZvmT8n,MEDI,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_3suDhK7bBBEAbNN,R_24MEuk7xpLeHgPo,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_3r1z7xI5Q6M8QPG,R_24MEuk7xpLeHgPo,PHYS,No,,,,There was no data in the paper,,The paper cited provided general background for our work,
R_3qjPGfU1MRNiPEN,R_24MEuk7xpLeHgPo,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_ODmVQ04zysZNUvT,R_3KuNr4N6Kg1WsbU,CHEM,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data",,The paper cited provided general background for our work,
R_2wpOLDVcgO4xfFS,R_3fN94PgHTZvmT8n,MEDI,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_2xQ02jwm3Iu7tCi,R_33mc4kWMIzbMo4n,BIOC,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work is an extension of the cited paper,Our work addresses a similar process but in a different context,Our paper validated the results of the cited paper",
R_TvGWT5dMfmAaokV,R_XRqE7nJDdBdx5mh,BIOC,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data",,The paper cited provided general background for our work,
R_2tz2KySIgojb5a0,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_7P1royTdwCpVS01,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Data did not address our specific research question,There was no data in the paper",,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_2tnaq0x6xhAfRTF,R_3ozMbiAdU3U8F71,PHYS,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_TbIGS3kXkLp7xN7,R_3ozMbiAdU3U8F71,PHYS,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_3g1l8KBcaakQ1Rq,R_VOTXdJZbi93ky9X,CHEM,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_12i2z9bA6YCaxFE,R_2OPTUwW0URU17Qm,MEDI,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_3eawBFopxAklAR9,R_W8aKSQrkB41epaN,ENGI,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data",,"The paper cited provided general background for our work,Our paper validated the results of the cited paper",
R_2Vlvt5FFdGOs5EL,R_vV7PKGxpF2HVQ8V,PHYS,No,,,,Data did not address our specific research question,,"Other, please specify:",We used a computational tool created by the paper.
R_3s6UnXv8ZXRu5Ey,R_1QnkHTDqATDTUnu,BIOC,No,,,,,,,
R_1InMDaytJtMSzxZ,R_BJuFTlG55oyflM5,COMP,No,,,,Data did not address our specific research question,,"Other, please specify:",Our work used the computational tool presented in the paper to answer an empirical question
R_1F3aBjIqQOvZwJW,R_3GkulVLiyP5j3J1,MEDI,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_12oiygdyrai2InX,R_XRqE7nJDdBdx5mh,BIOC,No,,,,It would be have too complicated to use the data due to data use agreements or others IP restrictions,,The paper cited provided general background for our work,
R_2OGrr2A5yQIcRXo,R_XRqE7nJDdBdx5mh,BIOC,No,,,,It would be have too complicated to use the data due to data use agreements or others IP restrictions,,The paper cited provided general background for our work,
R_1DooNDkVJd8vkUX,R_1QnkHTDqATDTUnu,BIOC,No,,,,There was no data in the paper,,The paper cited provided general background for our work,
R_1q8uMZU3wk5hJj8,R_3fN94PgHTZvmT8n,MEDI,No,,,,There was no data in the paper,,The paper cited provided general background for our work,
R_3s4DRKZvnvfll3S,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_1DusMPY11gViVYA,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,"Other, please specify:",The cited paper provided motivation for our paper.
R_djxKFyw4zo721Ox,R_1QnkHTDqATDTUnu,BIOC,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_sLvba83Xfk6FiWR,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_1hE92ALXJMmPbHg,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,Our work used alternative or improved methodology,
R_1pR000rIbAnI7XS,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_9NchLhgOyVbruff,R_1M0oybwscLN9XCy,CHEM,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_1CpgEnwbANzKBQs,R_PHeUwNJtm5jvbrj,CHEM,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_PZB83QMEeqCJhVn,R_3GkulVLiyP5j3J1,MEDI,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_2TMMA7u19D3UFi0,R_3n0K0IRFWgg3NV3,ENVI,No,,,,It is important for my students' education to learn to collect their own data,,Our work addresses a similar process but in a different context,
R_3F2LeFd1pbZj6lC,R_33mc4kWMIzbMo4n,BIOC,No,,,,There was no data in the paper,,The paper cited provided general background for our work,
R_3nAfFincnMCd9BP,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Data did not address our specific research question,There was no data in the paper",,The paper cited provided general background for our work,
R_1fiU12nhhu9bDKC,R_3hG6Jv6Uh64hCxi,COMP,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_10ZaNb8CGAbvUaX,R_3PcaJ65Qc58kPgx,CHEM,No,,,,There was no data in the paper,,The paper cited provided general background for our work,
R_1H2G4ERveSUPc5Z,R_1NqeYmiHyFuzPG2,MEDI,No,,,,"Data did not address our specific research question,There was no data in the paper",,The paper cited provided general background for our work,
R_1jDJgh8C40m1Eg4,R_27xSRBo5D31eLr5,ENGI,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_2R9UDtPEc8tKgjd,R_Xzx2T1VZLR39H0J,CHEM,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_aWbI9hLr4D88E3D,R_W8aKSQrkB41epaN,ENGI,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Our work used alternative or improved methodology",
R_2ZVWGhchPiVJ97E,R_3fN94PgHTZvmT8n,MEDI,No,,,,It is important for my students' education to learn to collect their own data,,"The paper cited provided general background for our work,Our paper validated the results of the cited paper",
R_4PJu9dVNcFmJgEp,R_1QnkHTDqATDTUnu,BIOC,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_1N4TWaTBsO8QTPP,R_3QJl4GqYa3hqSmP,CHEM,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work is an extension of the cited paper,Our work addresses a similar process but in a different context,Our paper validated the results of the cited paper",
R_23UEUrOpdP56c5f,R_3k7m6t8kVkT4iU4,PHYS,No,,,,Data did not address our specific research question,,"Our work addresses a similar process but in a different context,Our paper validated the results of the cited paper",
R_22Q9rUQj9he7ZAG,R_3PcaJ65Qc58kPgx,CHEM,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_2YPuf05ZNgy6Ksn,R_1QnkHTDqATDTUnu,BIOC,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_w7bF1xfRrJAulcR,R_3fN94PgHTZvmT8n,MEDI,No,,,,There was no data in the paper,,"The paper cited provided general background for our work,Other, please specify:","High profile review that reached an important audience, highlighted our area of research as important for the field"
